R,G,B,R',G',B',X,Y,Z,L',M',S',L,M,S,L,a,b,,RGB,Min,Max
0.187500,0.187500,0.000000,0.029343,0.029343,0.000000,0.023772,0.027225,0.003733,0.027834,0.026192,0.010859,0.303057,0.296978,0.221445,0.298565,-0.022032,0.061183,,,,
0.250000,0.187500,0.000000,0.050876,0.029343,0.000000,0.033117,0.031805,0.004115,0.036711,0.030756,0.012761,0.332353,0.313312,0.233685,0.317643,0.001760,0.064826,,,,
0.312500,0.187500,0.000000,0.079581,0.029343,0.000000,0.045573,0.037909,0.004625,0.048546,0.036840,0.015297,0.364796,0.332740,0.248237,0.339830,0.025302,0.069103,,,,
0.375000,0.187500,0.000000,0.116016,0.029343,0.000000,0.061384,0.045658,0.005272,0.063567,0.044562,0.018515,0.399095,0.354531,0.264550,0.364275,0.047573,0.073852,,,,
0.437500,0.187500,0.000000,0.160683,0.029343,0.000000,0.080767,0.055157,0.006065,0.081981,0.054028,0.022460,0.434415,0.378042,0.282145,0.390296,0.068261,0.078938,,,,
0.500000,0.187500,0.000000,0.214041,0.029343,0.000000,0.103922,0.066505,0.007013,0.103979,0.065337,0.027174,0.470236,0.402766,0.300641,0.417380,0.087401,0.084257,,,,
0.562500,0.187500,0.000000,0.276518,0.029343,0.000000,0.131034,0.079792,0.008122,0.129736,0.078578,0.032692,0.506237,0.428319,0.319752,0.445158,0.105163,0.089732,,,,
0.625000,0.187500,0.000000,0.348510,0.029343,0.000000,0.162275,0.095103,0.009400,0.159417,0.093836,0.039051,0.542223,0.454419,0.339269,0.473366,0.121747,0.095307,,,,
0.687500,0.187500,0.000000,0.430393,0.029343,0.000000,0.197808,0.112518,0.010854,0.193175,0.111190,0.046284,0.578074,0.480864,0.359040,0.501817,0.137342,0.100943,,,,
0.750000,0.187500,0.000000,0.522522,0.029343,0.000000,0.237787,0.132111,0.012490,0.231157,0.130716,0.054421,0.613718,0.507508,0.378957,0.530382,0.152109,0.106611,,,,
0.812500,0.187500,0.000000,0.625232,0.029343,0.000000,0.282358,0.153954,0.014314,0.273501,0.152484,0.063494,0.649112,0.534246,0.398942,0.558970,0.166184,0.112291,,,,
0.875000,0.187500,0.000000,0.738845,0.029343,0.000000,0.331661,0.178117,0.016331,0.320340,0.176563,0.073529,0.684233,0.561005,0.418941,0.587516,0.179676,0.117969,,,,
0.937500,0.187500,0.000000,0.863669,0.029343,0.000000,0.385828,0.204664,0.018548,0.371802,0.203018,0.084555,0.719069,0.587731,0.438914,0.615976,0.192672,0.123635,,,,
1.000000,0.187500,0.000000,1.000000,0.029343,0.000000,0.444989,0.233657,0.020969,0.428007,0.231912,0.096597,0.753616,0.614386,0.458832,0.644319,0.205245,0.129282,,,,
0.000000,0.250000,0.000000,0.000000,0.050876,0.000000,0.019140,0.036384,0.005569,0.027285,0.034631,0.014334,0.301051,0.325952,0.242919,0.321050,-0.086689,0.066441,,,,
0.062500,0.250000,0.000000,0.005156,0.050876,0.000000,0.021377,0.037481,0.005661,0.029410,0.035723,0.014790,0.308674,0.329345,0.245464,0.325337,-0.078704,0.067235,,,,
0.125000,0.250000,0.000000,0.014350,0.050876,0.000000,0.025367,0.039436,0.005824,0.033201,0.037672,0.015602,0.321403,0.335228,0.249877,0.332666,-0.065826,0.068599,,,,
0.187500,0.250000,0.000000,0.029343,0.050876,0.000000,0.031873,0.042625,0.006090,0.039382,0.040850,0.016926,0.340225,0.344400,0.256756,0.343878,-0.047773,0.070702,,,,
0.250000,0.250000,0.000000,0.050876,0.050876,0.000000,0.041218,0.047204,0.006473,0.048259,0.045413,0.018828,0.364078,0.356775,0.266034,0.358682,-0.026469,0.073502,,,,
0.312500,0.250000,0.000000,0.079581,0.050876,0.000000,0.053674,0.053309,0.006982,0.060094,0.051497,0.021364,0.391691,0.372044,0.277477,0.376564,-0.003779,0.076913,,,,
0.375000,0.250000,0.000000,0.116016,0.050876,0.000000,0.069485,0.061058,0.007629,0.075115,0.059219,0.024582,0.421931,0.389781,0.290763,0.396950,0.018945,0.080832,,,,
0.437500,0.250000,0.000000,0.160683,0.050876,0.000000,0.088868,0.070557,0.008422,0.093529,0.068686,0.028527,0.453924,0.409533,0.305554,0.419298,0.040918,0.085158,,,,
0.500000,0.250000,0.000000,0.214041,0.050876,0.000000,0.112023,0.081905,0.009370,0.115528,0.079994,0.033241,0.487037,0.430877,0.321531,0.443141,0.061776,0.089799,,,,
0.562500,0.250000,0.000000,0.276518,0.050876,0.000000,0.139135,0.095192,0.010479,0.141285,0.093236,0.038759,0.520833,0.453448,0.338421,0.468097,0.081417,0.094679,,,,
0.625000,0.250000,0.000000,0.348510,0.050876,0.000000,0.170376,0.110503,0.011758,0.170965,0.108494,0.045118,0.555012,0.476945,0.356000,0.493866,0.099877,0.099737,,,,
0.687500,0.250000,0.000000,0.430393,0.050876,0.000000,0.205909,0.127917,0.013212,0.204723,0.125848,0.052351,0.589371,0.501128,0.374089,0.520215,0.117256,0.104924,,,,
0.750000,0.250000,0.000000,0.522522,0.050876,0.000000,0.245888,0.147510,0.014847,0.242705,0.145373,0.060488,0.623772,0.525809,0.392546,0.546967,0.133674,0.110205,,,,
0.812500,0.250000,0.000000,0.625232,0.050876,0.000000,0.290459,0.169354,0.016671,0.285049,0.167142,0.069561,0.658122,0.550844,0.411265,0.573988,0.149251,0.115548,,,,
0.875000,0.250000,0.000000,0.738845,0.050876,0.000000,0.339762,0.193516,0.018689,0.331888,0.191221,0.079596,0.692358,0.576118,0.430160,0.601174,0.164099,0.120934,,,,
0.937500,0.250000,0.000000,0.863669,0.050876,0.000000,0.393929,0.220063,0.020905,0.383350,0.217676,0.090622,0.726438,0.601548,0.449170,0.628450,0.178314,0.126345,,,,
1.000000,0.250000,0.000000,1.000000,0.050876,0.000000,0.453090,0.249057,0.023326,0.439555,0.246570,0.102664,0.760334,0.627066,0.468244,0.655758,0.191979,0.131768,,,,
0.000000,0.312500,0.000000,0.000000,0.079581,0.000000,0.029939,0.056913,0.008712,0.042679,0.054170,0.022422,0.349467,0.378373,0.281985,0.372683,-0.100630,0.077126,,,,
0.062500,0.312500,0.000000,0.005156,0.079581,0.000000,0.032177,0.058009,0.008803,0.044805,0.055263,0.022878,0.355175,0.380900,0.283882,0.375882,-0.094624,0.077718,,,,
0.125000,0.312500,0.000000,0.014350,0.079581,0.000000,0.036166,0.059965,0.008966,0.048595,0.057212,0.023690,0.364921,0.385326,0.287202,0.381431,-0.084599,0.078749,,,,
0.187500,0.312500,0.000000,0.029343,0.079581,0.000000,0.042673,0.063153,0.009233,0.054777,0.060389,0.025014,0.379780,0.392331,0.292457,0.390097,-0.069855,0.080367,,,,
0.250000,0.312500,0.000000,0.050876,0.079581,0.000000,0.052017,0.067733,0.009615,0.063654,0.064953,0.026916,0.399278,0.401975,0.299689,0.401824,-0.051452,0.082570,,,,
0.312500,0.312500,0.000000,0.079581,0.079581,0.000000,0.064474,0.073838,0.010125,0.075488,0.071037,0.029452,0.422630,0.414153,0.308818,0.416366,-0.030725,0.085323,,,,
0.375000,0.312500,0.000000,0.116016,0.079581,0.000000,0.080285,0.081586,0.010772,0.090509,0.078759,0.032670,0.448984,0.428646,0.319680,0.433370,-0.008903,0.088564,,,,
0.437500,0.312500,0.000000,0.160683,0.079581,0.000000,0.099668,0.091086,0.011565,0.108924,0.088225,0.036615,0.477575,0.445175,0.332063,0.452454,0.013084,0.092226,,,,
0.500000,0.312500,0.000000,0.214041,0.079581,0.000000,0.122822,0.102434,0.012512,0.130922,0.099534,0.041328,0.507775,0.463437,0.345740,0.473246,0.034630,0.096239,,,,
0.562500,0.312500,0.000000,0.276518,0.079581,0.000000,0.149934,0.115721,0.013622,0.156679,0.112775,0.046847,0.539102,0.483138,0.360490,0.495414,0.055391,0.100540,,,,
0.625000,0.312500,0.000000,0.348510,0.079581,0.000000,0.181175,0.131031,0.014900,0.186360,0.128033,0.053206,0.571195,0.504012,0.376114,0.518671,0.075214,0.105072,,,,
0.687500,0.312500,0.000000,0.430393,0.079581,0.000000,0.216708,0.148446,0.016354,0.220118,0.145387,0.060439,0.603789,0.525826,0.392438,0.542776,0.094060,0.109787,,,,
0.750000,0.312500,0.000000,0.522522,0.079581,0.000000,0.256688,0.168039,0.017990,0.258099,0.164913,0.068576,0.636691,0.548384,0.409315,0.567534,0.111959,0.114645,,,,
