R,G,B,R',G',B',X,Y,Z,L',M',S',L,M,S,L,a,b
0.625000,0.187500,0.000000,0.348510,0.029343,0.000000,0.162275,0.095103,0.009400,0.159412,0.094220,0.041126,0.542218,0.455038,0.345174,0.473833,0.122939,0.091102
0.687500,0.187500,0.000000,0.430393,0.029343,0.000000,0.197808,0.112518,0.010854,0.193215,0.111655,0.048774,0.578114,0.481533,0.365366,0.502332,0.138693,0.096443
0.750000,0.187500,0.000000,0.522522,0.029343,0.000000,0.237787,0.132111,0.012490,0.231246,0.131271,0.057378,0.613797,0.508226,0.385700,0.530943,0.153611,0.101818
0.812500,0.187500,0.000000,0.625232,0.029343,0.000000,0.282358,0.153954,0.014314,0.273646,0.153141,0.066972,0.649227,0.535012,0.406097,0.559574,0.167827,0.107209
0.875000,0.187500,0.000000,0.738845,0.029343,0.000000,0.331661,0.178117,0.016331,0.320547,0.177332,0.077583,0.684380,0.561818,0.426503,0.588163,0.181453,0.112601
0.937500,0.187500,0.000000,0.863669,0.029343,0.000000,0.385828,0.204664,0.018548,0.372075,0.203911,0.089242,0.719245,0.588591,0.446878,0.616665,0.194580,0.117984
1.000000,0.187500,0.000000,1.000000,0.029343,0.000000,0.444989,0.233657,0.020969,0.428354,0.232939,0.101975,0.753820,0.615291,0.467194,0.645048,0.207278,0.123351
0.000000,0.250000,0.000000,0.000000,0.050876,0.000000,0.019140,0.036384,0.005569,0.026951,0.034699,0.014868,0.299817,0.326166,0.245896,0.320948,-0.088286,0.064230
0.062500,0.250000,0.000000,0.005156,0.050876,0.000000,0.021377,0.037481,0.005661,0.029079,0.035797,0.015350,0.307511,0.329570,0.248523,0.325257,-0.080153,0.064970
0.125000,0.250000,0.000000,0.014350,0.050876,0.000000,0.025367,0.039436,0.005824,0.032875,0.037754,0.016208,0.320346,0.335472,0.253073,0.332624,-0.067046,0.066242
0.187500,0.250000,0.000000,0.029343,0.050876,0.000000,0.031873,0.042625,0.006090,0.039064,0.040947,0.017609,0.339306,0.344672,0.260161,0.343887,-0.048695,0.068203
0.250000,0.250000,0.000000,0.050876,0.050876,0.000000,0.041218,0.047204,0.006473,0.047953,0.045532,0.019620,0.363305,0.357085,0.269711,0.358750,-0.027066,0.070818
0.312500,0.250000,0.000000,0.079581,0.050876,0.000000,0.053674,0.053309,0.006982,0.059803,0.051644,0.022301,0.391057,0.372397,0.281476,0.376695,-0.004059,0.074009
0.375000,0.250000,0.000000,0.116016,0.050876,0.000000,0.069485,0.061058,0.007629,0.074843,0.059402,0.025704,0.421423,0.390181,0.295121,0.397143,0.018961,0.077683
0.437500,0.250000,0.000000,0.160683,0.050876,0.000000,0.088868,0.070557,0.008422,0.093282,0.068913,0.029876,0.453523,0.409983,0.310294,0.419552,0.041203,0.081744
0.500000,0.250000,0.000000,0.214041,0.050876,0.000000,0.112023,0.081905,0.009370,0.115309,0.080274,0.034859,0.486730,0.431378,0.326668,0.443454,0.062303,0.086110
0.562500,0.250000,0.000000,0.276518,0.050876,0.000000,0.139135,0.095192,0.010479,0.141100,0.093577,0.040695,0.520606,0.454000,0.343964,0.468466,0.082164,0.090709
0.625000,0.250000,0.000000,0.348510,0.050876,0.000000,0.170376,0.110503,0.011758,0.170819,0.108906,0.047419,0.554854,0.477548,0.361951,0.494288,0.100824,0.095483
0.687500,0.250000,0.000000,0.430393,0.050876,0.000000,0.205909,0.127917,0.013212,0.204622,0.126341,0.055067,0.589274,0.501782,0.380449,0.520689,0.118387,0.100385
0.750000,0.250000,0.000000,0.522522,0.050876,0.000000,0.245888,0.147510,0.014847,0.242653,0.145958,0.063671,0.623728,0.526513,0.399314,0.547490,0.134976,0.105381
0.812500,0.250000,0.000000,0.625232,0.050876,0.000000,0.290459,0.169354,0.016671,0.285053,0.167827,0.073264,0.658125,0.551596,0.418438,0.574558,0.150715,0.110441
0.875000,0.250000,0.000000,0.738845,0.050876,0.000000,0.339762,0.193516,0.018689,0.331953,0.192019,0.083876,0.692403,0.576918,0.437736,0.601789,0.165714,0.115545
0.937500,0.250000,0.000000,0.863669,0.050876,0.000000,0.393929,0.220063,0.020905,0.383482,0.218597,0.095534,0.726521,0.602395,0.457144,0.629109,0.180072,0.120676
1.000000,0.250000,0.000000,1.000000,0.050876,0.000000,0.453090,0.249057,0.023326,0.439761,0.247626,0.108268,0.760453,0.627960,0.476613,0.656460,0.193875,0.125822
0.000000,0.312500,0.000000,0.000000,0.079581,0.000000,0.029939,0.056913,0.008712,0.042157,0.054277,0.023257,0.348035,0.378621,0.285442,0.372563,-0.102485,0.074559
0.062500,0.312500,0.000000,0.005156,0.079581,0.000000,0.032177,0.058009,0.008803,0.044285,0.055375,0.023738,0.353796,0.381157,0.287398,0.375780,-0.096366,0.075111
0.125000,0.312500,0.000000,0.014350,0.079581,0.000000,0.036166,0.059965,0.008966,0.048081,0.057332,0.024597,0.363628,0.385596,0.290823,0.381359,-0.086158,0.076072
0.187500,0.312500,0.000000,0.029343,0.079581,0.000000,0.042673,0.063153,0.009233,0.054270,0.060525,0.025998,0.378605,0.392624,0.296240,0.390067,-0.071160,0.077580
0.250000,0.312500,0.000000,0.050876,0.079581,0.000000,0.052017,0.067733,0.009615,0.063159,0.065110,0.028009,0.398240,0.402298,0.303690,0.401846,-0.052459,0.079637
0.312500,0.312500,0.000000,0.079581,0.079581,0.000000,0.064474,0.073838,0.010125,0.075009,0.071222,0.030690,0.421733,0.414512,0.313087,0.416445,-0.031419,0.082208
0.375000,0.312500,0.000000,0.116016,0.079581,0.000000,0.080285,0.081586,0.010772,0.090050,0.078980,0.034093,0.448223,0.429047,0.324256,0.433510,-0.009289,0.085239
0.437500,0.312500,0.000000,0.160683,0.079581,0.000000,0.099668,0.091086,0.011565,0.108488,0.088490,0.038265,0.476937,0.445621,0.336976,0.452654,0.012989,0.088669
0.500000,0.312500,0.000000,0.214041,0.079581,0.000000,0.122822,0.102434,0.012512,0.130515,0.099852,0.043248,0.507248,0.463929,0.351013,0.473506,0.034805,0.092435
0.562500,0.312500,0.000000,0.276518,0.079581,0.000000,0.149934,0.115721,0.013622,0.156306,0.113155,0.049084,0.538673,0.483679,0.366138,0.495732,0.055815,0.096477
0.625000,0.312500,0.000000,0.348510,0.079581,0.000000,0.181175,0.131031,0.014900,0.186025,0.128484,0.055808,0.570853,0.504603,0.382148,0.519044,0.075865,0.100742
0.687500,0.312500,0.000000,0.430393,0.079581,0.000000,0.216708,0.148446,0.016354,0.219828,0.145919,0.063456,0.603523,0.526466,0.398862,0.543203,0.094921,0.105186
0.750000,0.312500,0.000000,0.522522,0.079581,0.000000,0.256688,0.168039,0.017990,0.257859,0.165535,0.072060,0.636494,0.549073,0.416133,0.568013,0.113015,0.109770
0.812500,0.312500,0.000000,0.625232,0.079581,0.000000,0.301258,0.189883,0.019814,0.300259,0.187405,0.081653,0.669625,0.572261,0.433835,0.593315,0.130214,0.114464
0.875000,0.312500,0.000000,0.738845,0.079581,0.000000,0.350561,0.214045,0.021831,0.347160,0.211596,0.092265,0.702818,0.595895,0.451868,0.618984,0.146598,0.119240
0.937500,0.312500,0.000000,0.863669,0.079581,0.000000,0.404728,0.240592,0.024047,0.398688,0.238175,0.103923,0.736000,0.619867,0.470151,0.644917,0.162250,0.124080
1.000000,0.312500,0.000000,1.000000,0.079581,0.000000,0.463889,0.269586,0.026468,0.454967,0.267203,0.116657,0.769119,0.644091,0.488618,0.671037,0.177249,0.128966
0.000000,0.375000,0.000000,0.000000,0.116016,0.000000,0.043646,0.082969,0.012700,0.061458,0.079126,0.033905,0.394632,0.429312,0.323658,0.422444,-0.116206,0.084542
0.062500,0.375000,0.000000,0.005156,0.116016,0.000000,0.045884,0.084066,0.012792,0.063586,0.080224,0.034386,0.399135,0.431289,0.325183,0.424954,-0.111410,0.084972
0.125000,0.375000,0.000000,0.014350,0.116016,0.000000,0.049874,0.086021,0.012955,0.067381,0.082182,0.035245,0.406924,0.434769,0.327868,0.429344,-0.103246,0.085727
0.187500,0.375000,0.000000,0.029343,0.116016,0.000000,0.056380,0.089210,0.013221,0.073571,0.085374,0.036645,0.419020,0.440327,0.332154,0.436283,-0.090888,0.086925
0.250000,0.375000,0.000000,0.050876,0.116016,0.000000,0.065724,0.093789,0.013603,0.082460,0.089959,0.038656,0.435259,0.448073,0.338122,0.445824,-0.074889,0.088582
0.312500,0.375000,0.000000,0.079581,0.116016,0.000000,0.078181,0.099894,0.014113,0.094310,0.096071,0.041338,0.455182,0.457999,0.345765,0.457863,-0.056143,0.090688
0.375000,0.375000,0.000000,0.116016,0.116016,0.000000,0.093992,0.107643,0.014760,0.109350,0.103829,0.044741,0.478197,0.470009,0.355004,0.472201,-0.035626,0.093214
0.437500,0.375000,0.000000,0.160683,0.116016,0.000000,0.113375,0.117142,0.015553,0.127789,0.113340,0.048912,0.503691,0.483943,0.365712,0.488581,-0.014212,0.096122
0.500000,0.375000,0.000000,0.214041,0.116016,0.000000,0.136530,0.128490,0.016501,0.149816,0.124701,0.053896,0.531112,0.499601,0.377734,0.506729,0.007415,0.099368
0.562500,0.375000,0.000000,0.276518,0.116016,0.000000,0.163641,0.141777,0.017610,0.175607,0.138004,0.059731,0.559990,0.516770,0.390901,0.526379,0.028774,0.102907
0.625000,0.375000,0.000000,0.348510,0.116016,0.000000,0.194882,0.157088,0.018888,0.205326,0.153333,0.066455,0.589949,0.535236,0.405051,0.547281,0.049562,0.106695
